--------------------Experiment_Info------------------------

Datetime: 16-25-10_21-06-2024
Characterization: Static
Mode: Manual

-----------------------Motor_Info--------------------------

Motor type: Motor Fiber
Motor name: 
Fiber length (mm): 
Number of fibers: 
Insulator: 

---------------------Program_Info-------------------------

Sample rate (Hz): 400

----------------------Data_Info---------------------------

state,abs. t (s), rel. t (s), F (mN), p (mm), v (mm/s), hv_set (kV), hv_vm (kV), hv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA)
A, 3038910.90305480, 0.3025,  44854.517588, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.90555480, 0.3050,  44854.708254, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.90805480, 0.3075,  44854.447129, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.91055480, 0.3100,  44853.209786, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.91305480, 0.3125,  44853.427413, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.91555480, 0.3150,  44853.645039, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.91805480, 0.3175,  44853.862665, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.92055480, 0.3200,  44854.080291, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.92305480, 0.3225,  44854.304647, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.92555480, 0.3250,  44854.533018, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.92805480, 0.3275,  44854.522180, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.93055480, 0.3300,  44853.886446, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.93305480, 0.3325,  44853.724637, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.93555480, 0.3350,  44854.761686, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.93805480, 0.3375,  44854.704303, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.94055480, 0.3400,  44854.647346, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.94305480, 0.3425,  44854.702997, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.94555480, 0.3450,  44854.758648, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.94805480, 0.3475,  44854.814299, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.95055480, 0.3500,  44854.869949, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.95305480, 0.3525,  44853.669817, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.95555480, 0.3550,  44853.911462, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.95805480, 0.3575,  44854.153106, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.96055480, 0.3600,  44854.394751, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.96305480, 0.3625,  44854.636395, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.96555480, 0.3650,  44854.677228, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.96805480, 0.3675,  44854.352441, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.97055480, 0.3700,  44854.042497, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.97305480, 0.3725,  44853.743433, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.97555480, 0.3750,  44854.066692, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.97805480, 0.3775,  44854.595890, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.98055480, 0.3800,  44854.796124, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.98305480, 0.3825,  44854.895077, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.98555480, 0.3850,  44854.590349, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.98805480, 0.3875,  44854.498433, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.99055480, 0.3900,  44854.551249, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.99305480, 0.3925,  44854.604064, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.99555480, 0.3950,  44854.294148, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038910.99805480, 0.3975,  44854.296850, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.00055480, 0.4000,  44854.685793, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.00305480, 0.4025,  44855.081064, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.00555480, 0.4050,  44854.634412, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.00805480, 0.4075,  44853.977250, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.01055480, 0.4100,  44853.947334, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.01305480, 0.4125,  44853.917419, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.01555480, 0.4150,  44853.887503, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.01805480, 0.4175,  44853.857588, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.02055480, 0.4200,  44853.827673, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.02305480, 0.4225,  44853.797757, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.02555480, 0.4250,  44853.767842, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.02805480, 0.4275,  44853.792132, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.03055480, 0.4300,  44854.002576, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.03305480, 0.4325,  44853.934367, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.03555480, 0.4350,  44854.045407, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.03805480, 0.4375,  44854.379373, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.04055480, 0.4400,  44854.467961, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.04305480, 0.4425,  44854.464663, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.04555480, 0.4450,  44854.479929, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.04805480, 0.4475,  44854.495196, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.05055480, 0.4500,  44854.342663, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.05305480, 0.4525,  44853.977983, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.05555480, 0.4550,  44853.613302, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.05805480, 0.4575,  44854.243690, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.06055480, 0.4600,  44854.833213, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.06305480, 0.4625,  44855.046977, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.06555480, 0.4650,  44854.860728, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.06805480, 0.4675,  44854.522306, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.07055480, 0.4700,  44854.182790, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.07305480, 0.4725,  44853.423948, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.07555480, 0.4750,  44853.423948, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.07805480, 0.4775,  44853.423948, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
A, 3038911.08055480, 0.4800,  44853.423948, 10.000, 2.0,  0.0,   2.0,  -2.0, 0.0,  0.0,  0.0
