--------------------Experiment_Info------------------------

Datetime: 13-17-39_04-07-2024
Characterization: Static
Mode: Auto
Experiment: Force vs. Voltage and Position
Modulation: OFF
Control sequence: A-B-C
Start position (mm): 5
End position (mm): 5
Step size (mm): 1
Start voltage (V): 2000
End voltage (V): 3000
Step voltage (V): 500

-----------------------Motor_Info--------------------------

Motor type: Motor Fiber
Motor name: 
Fiber length (mm): 
Number of fibers: 
Insulator: 

---------------------Program_Info-------------------------

Sample rate (Hz): 400

----------------------Data_Info---------------------------

state, abs. t (s), rel. t (s), F (mN), p (mm), v (mm/s), hv_set (kV), hv_vm (kV), hv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA)
A, 707725.99385240, 0.3825,  1.443597, 5.000, 3.5, 2000.0, 1998.9,   1.1,  0.0,  0.0,  0.0
A, 707725.99635240, 0.3850,  1.434912, 5.000, 3.5, 2000.0, 1998.8,   1.2,  0.0,  0.0,  0.0
A, 707725.99885240, 0.3875,  1.389260, 5.000, 3.5, 2000.0, 1998.7,   1.3,  0.0,  0.0,  0.0
A, 707726.00135240, 0.3900,  1.382715, 5.000, 3.5, 2000.0, 1998.6,   1.4,  0.0,  0.0,  0.0
A, 707726.00385240, 0.3925,  1.315836, 5.000, 3.5, 2000.0, 1998.5,   1.5,  0.0,  0.0,  0.0
A, 707726.00635240, 0.3950,  1.285774, 5.000, 3.5, 2000.0, 1998.4,   1.6,  0.0,  0.0,  0.0
A, 707726.00885240, 0.3975,  1.307088, 5.000, 3.5, 2000.0, 1998.4,   1.6,  0.0,  0.0,  0.0
A, 707726.01135240, 0.4000,  1.278129, 5.000, 3.5, 2000.0, 1998.3,   1.7,  0.0,  0.0,  0.0
A, 707726.01385240, 0.4025,  1.294993, 5.000, 3.5, 2000.0, 1998.2,   1.8,  0.0,  0.0,  0.0
A, 707726.01635240, 0.4050,  1.331535, 5.000, 3.5, 2000.0, 1998.1,   1.9,  0.0,  0.0,  0.0
A, 707726.01885240, 0.4075,  1.331535, 5.000, 3.5, 2000.0, 1998.0,   2.0,  0.0,  0.0,  0.0
A, 707726.02135240, 0.4100,  1.331535, 5.000, 3.5, 2000.0, 1998.0,   2.0,  0.0,  0.0,  0.0
A, 707726.02385240, 0.4125,  1.280671, 5.000, 3.5, 2000.0, 1997.9,   2.1,  0.0,  0.0,  0.0
A, 707726.02635240, 0.4150,  1.283137, 5.000, 3.5, 2000.0, 1997.8,   2.2,  0.0,  0.0,  0.0
A, 707726.02885240, 0.4175,  1.324636, 5.000, 3.5, 2000.0, 1997.7,   2.3,  0.0,  0.0,  0.0
A, 707726.03135240, 0.4200,  1.338679, 5.000, 3.5, 2000.0, 1997.6,   2.4,  0.0,  0.0,  0.0
A, 707726.03385240, 0.4225,  1.352722, 5.000, 3.5, 2000.0, 1997.5,   2.5,  0.0,  0.0,  0.0
A, 707726.03635240, 0.4250,  1.298849, 5.000, 3.5, 2000.0, 1997.5,   2.5,  0.0,  0.0,  0.0
A, 707726.04135240, 0.4300,  1.283332, 5.000, 3.5, 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
A, 707726.04385240, 0.4325,  1.259272, 5.000, 3.5, 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
A, 707726.04635240, 0.4350,  1.232358, 5.000, 3.5, 2000.0, 1997.3,   2.7,  0.0,  0.0,  0.0
