--------------------Experiment_Info------------------------

Datetime: 13-22-04_04-07-2024
Characterization: Static
Mode: Auto
Experiment: Force vs. Frequency and Position
Modulation: ON
Control sequence: <PyQt6.QtWidgets.QLabel object at 0x00000203040636B0>
Modulation frequency (Hz): 50.0
Start position (mm): 5
End position (mm): 5
Step size (mm): 1
Target voltage (V): 3000
Start mod. freq. (Hz): 50
End mod. freq. (Hz): 100
Step mod. freq. (Hz): 10

-----------------------Motor_Info--------------------------

Motor type: Motor Fiber
Motor name: 
Fiber length (mm): 
Number of fibers: 
Insulator: 

---------------------Program_Info-------------------------

Sample rate (Hz): 400

----------------------Data_Info---------------------------

state, abs. t (s), rel. t (s), F (mN), p (mm), v (mm/s), hv_set (kV), hv_vm (kV), hv_err (V), cm_w1 (uA), cm_w2 (uA), cm_w3 (uA), freq (Hz), DC (%), ph1 (deg), ph2 (deg), ph3 (deg)
A-D, 707991.14269390, 0.2225,  0.490968, 5.000, 3.5, 3000.0, 2873.1,  126.9,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.14519390, 0.2250, -0.019124, 5.000, 3.5, 3000.0, 2868.6,  131.4,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.14769390, 0.2275, -0.129600, 5.000, 3.5, 3000.0, 2867.6,  132.4,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.15019390, 0.2300,  0.234437, 5.000, 3.5, 3000.0, 2871.5,  128.5,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.15269390, 0.2325,  0.228860, 5.000, 3.5, 3000.0, 2875.4,  124.6,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.15519390, 0.2350,  0.269457, 5.000, 3.5, 3000.0, 2879.3,  120.7,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.15769390, 0.2375,  0.753068, 5.000, 3.5, 3000.0, 2883.2,  116.8,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.16019390, 0.2400,  0.881464, 5.000, 3.5, 3000.0, 2887.2,  112.8,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.16269390, 0.2425,  0.152607, 5.000, 3.5, 3000.0, 2891.1,  108.9,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.16519390, 0.2450, -0.051000, 5.000, 3.5, 3000.0, 2895.0,  105.0,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.16769390, 0.2475,  0.401104, 5.000, 3.5, 3000.0, 2898.9,  101.1,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.17019390, 0.2500, -0.582173, 5.000, 3.5, 3000.0, 2902.8,  97.2,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.17269390, 0.2525, -0.505417, 5.000, 3.5, 3000.0, 2906.8,  93.2,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.17519390, 0.2550,  0.245320, 5.000, 3.5, 3000.0, 2910.7,  89.3,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.17769390, 0.2575,  0.680400, 5.000, 3.5, 3000.0, 2914.6,  85.4,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.18019390, 0.2600,  0.388227, 5.000, 3.5, 3000.0, 2918.5,  81.5,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.18269390, 0.2625,  0.311113, 5.000, 3.5, 3000.0, 2922.4,  77.6,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.18519390, 0.2650, -0.076787, 5.000, 3.5, 3000.0, 2926.4,  73.6,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.18769390, 0.2675, -0.342465, 5.000, 3.5, 3000.0, 2930.3,  69.7,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.19019390, 0.2700, -0.202044, 5.000, 3.5, 3000.0, 2934.2,  65.8,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.19269390, 0.2725, -0.836206, 5.000, 3.5, 3000.0, 2938.1,  61.9,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.19519390, 0.2750, -1.470368, 5.000, 3.5, 3000.0, 2942.0,  58.0,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.19769390, 0.2775, -0.789522, 5.000, 3.5, 3000.0, 2945.9,  54.1,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.20019390, 0.2800,  0.382052, 5.000, 3.5, 3000.0, 2949.9,  50.1,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
A-D, 707991.20269390, 0.2825,  0.225657, 5.000, 3.5, 3000.0, 2953.8,  46.2,  0.0,  0.0,  0.0,  50, 50,   0, 180,   0
